난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Bronze II,구현/문자열,1159,농구 경기,Bronze I,맞았습니다!!,2024,0,C++17,508,2022-04-16 16:15
Bronze III,사칙연산/구현/수학,11022,A+B - 8,UNRANK,맞았습니다!!,30840,68,Python 3,156,2022-04-16 16:15
Bronze I,구현/문자열,1259,팰린드롬수,UNRANK,맞았습니다!!,30840,68,Python 3,389,2022-04-16 16:15
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,맞았습니다!!,1112,0,C99,130,2022-04-16 16:15
Bronze IV,사칙연산/수학,2480,주사위 세개,UNRANK,틀렸습니다,,,Java 11,950,2022-04-16 16:15
Bronze IV,사칙연산/수학,2588,곱셈,UNRANK,런타임 에러 (TypeError),,,Python 3,108,2022-04-16 16:15
Platinum IV,그래프 이론/강한 연결 요소,20504,I번은 쉬운 문제,Platinum IV,맞았습니다!!,2097112,4868,PyPy3,2115,2022-04-16 16:15
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,7569,토마토,Gold II,런타임 에러 (OutOfBounds),,,C++17,2328,2022-04-16 16:15
Gold IV,구현/시뮬레이션,20056,마법사 상어와 파이어볼,UNRANK,맞았습니다!!,1424,12,C++17,2809,2022-04-16 16:15
Bronze V,사칙연산/구현/수학,10998,A×B,UNRANK,컴파일 에러,,,Java 11,250,2022-04-16 16:14
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,Bronze III,맞았습니다!!,30840,68,Python 3,261,2022-04-16 16:14
Bronze V,구현,10172,개,UNRANK,컴파일 에러,,,C++17,187,2022-04-16 16:14
Bronze IV,구현,9498,시험 성적,UNRANK,맞았습니다!!,30840,84,Python 3,167,2022-04-16 16:14
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,맞았습니다!!,1112,0,C++17,193,2022-04-16 16:14
Gold V,이분 탐색/매개 변수 탐색,2110,공유기 설치,Platinum V,맞았습니다!!,2808,128,C++17,870,2022-04-16 16:14
Gold IV,구현/시뮬레이션,17144,미세먼지 안녕!,Gold I,맞았습니다!!,2156,44,C++17,2970,2022-04-16 16:14
Bronze III,사칙연산/구현/수학,11022,A+B - 8,UNRANK,맞았습니다!!,1112,0,C99,193,2022-04-16 16:14
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,컴파일 에러,,,C++17,250,2022-04-16 16:14
Silver II,수학/정수론/소수 판정/에라토스테네스의 체,4948,베르트랑 공준,Gold IV,맞았습니다!!,17644,652,C++17,992,2022-04-16 16:14
Silver I,백트래킹/브루트포스 알고리즘/다이나믹 프로그래밍,21317,징검다리 건너기,UNRANK,맞았습니다!!,30840,76,Python 3,667,2022-04-16 16:14
Gold IV,그래프 이론/최소 스패닝 트리,4386,별자리 만들기,Platinum V,맞았습니다!!,32952,92,Python 3,687,2022-04-16 16:14
Bronze III,구현/수학,8393,합,UNRANK,런타임 에러 (NameError),,,Python 3,56,2022-04-16 16:14
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,컴파일 에러,,,C++17,195,2022-04-16 16:14
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,Not ratable,맞았습니다!!,30840,80,Python 3,43,2022-04-16 16:14
Silver III,다이나믹 프로그래밍,1463,1로 만들기,UNRANK,틀렸습니다,,,Python 3,340,2022-04-16 16:14
Bronze III,사칙연산/오일러 지표 (χ=V-E+F)/기하학/수학,10569,다면체,Gold IV,맞았습니다!!,79512,12,Swift,165,2022-04-16 16:14
Gold IV,다이나믹 프로그래밍/슬라이딩 윈도우,2096,내려가기,Gold II,런타임 에러 (IndexError),,,Python 3,547,2022-04-16 16:14
Bronze II,구현/문자열,1159,농구 경기,Bronze I,틀렸습니다,,,Python 3,1616,2022-04-16 16:14
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,11724,연결 요소의 개수,Gold V,맞았습니다!!,30840,876,Python 3,1054,2022-04-16 16:14
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,UNRANK,런타임 에러 (NoSuchElement),,,Java 11,562,2022-04-16 16:14
Bronze IV,사칙연산/구현/수학,16199,나이 계산하기,UNRANK,틀렸습니다,,,Python 3,375,2022-04-16 16:14
Silver III,자료 구조/연결 리스트/스택,5397,키로거,Gold V,맞았습니다!!,195820,932,Java 11,1286,2022-04-16 16:14
Bronze I,구현/정렬,2750,수 정렬하기,Bronze V,틀렸습니다,,,node.js,337,2022-04-16 16:14
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Gold IV,맞았습니다!!,2916,16,C++17,701,2022-04-16 16:14
Gold V,구현/시뮬레이션,14891,톱니바퀴,Silver IV,맞았습니다!!,2212,0,C++17,1566,2022-04-16 16:14
Silver I,구현/문자열/두 포인터,17609,회문,Gold III,맞았습니다!!,115456,164,PyPy3,585,2022-04-16 16:14
Gold V,정규 표현식/문자열,2671,잠수함식별,Platinum V,틀렸습니다,,,C++17,808,2022-04-16 16:14
Platinum IV,자료 구조/느리게 갱신되는 세그먼트 트리/세그먼트 트리,10999,구간 합 구하기 2,Gold III,맞았습니다!!,108332,252,C++17,2762,2022-04-16 16:14
Bronze II,구현/문자열,1159,농구 경기,Bronze I,맞았습니다!!,2024,0,C++17,451,2022-04-16 16:13
Gold V,자료 구조/그리디 알고리즘/우선순위 큐/정렬,11000,강의실 배정,Gold III,틀렸습니다,,,Java 8,1383,2022-04-16 16:13
Bronze II,구현/문자열,10820,문자열 분석,Silver IV,맞았습니다!!,18400,324,Java 11,584,2022-04-16 16:13
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,틀렸습니다,,,C99,149,2022-04-16 16:13
Bronze III,구현/수학,10818,"최소, 최대",Silver V,틀렸습니다,,,C++17,305,2022-04-16 16:13
Bronze III,사칙연산/구현/수학,11021,A+B - 7,UNRANK,맞았습니다!!,30840,68,Python 3,140,2022-04-16 16:13
Silver IV,이분 탐색/자료 구조,1920,수 찾기,Gold V,시간 초과,,,C++17,428,2022-04-16 16:13
Bronze III,구현,2438,별 찍기 - 1,UNRANK,맞았습니다!!,30840,72,Python 3,107,2022-04-16 16:13
Gold V,다이나믹 프로그래밍,4095,최대 정사각형,Gold IV,틀렸습니다,,,Java 8,2099,2022-04-16 16:13
Silver III,백트래킹,15649,N과 M (1),Gold II,런타임 에러 (Segfault),,,C++20,441,2022-04-16 16:13
Bronze IV,사칙연산/수학,2588,곱셈,UNRANK,런타임 에러 (TypeError),,,Python 3,129,2022-04-16 16:13
Bronze III,브루트포스 알고리즘/수학,2501,약수 구하기,Silver III,틀렸습니다,,,Python 3,195,2022-04-16 16:13
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,Gold III,맞았습니다!!,212004,1188,PyPy3,863,2022-04-16 16:13
Silver III,백트래킹,15652,N과 M (4),Silver I,맞았습니다!!,115876,136,PyPy3,181,2022-04-16 16:13
Gold V,자료 구조/덱/구현/큐/시뮬레이션,3190,뱀,Gold III,틀렸습니다,,,Python 3,1649,2022-04-16 16:13
Silver V,브루트포스 알고리즘,1436,영화감독 숌,UNRANK,맞았습니다!!,87648,372,Java 11,377,2022-04-16 16:13
Bronze IV,구현/수학,2753,윤년,UNRANK,틀렸습니다,,,Python 3,131,2022-04-16 16:13
Bronze V,사칙연산/수학,15727,조별과제를 하려는데 조장이 사라졌다,Gold V,맞았습니다!!,30840,72,Python 3,71,2022-04-16 16:13
Bronze V,사칙연산/구현/수학,10869,사칙연산,Bronze III,맞았습니다!!,30840,68,Python 3,92,2022-04-16 16:13
Gold II,자료 구조/우선순위 큐,1655,가운데를 말해요,Gold IV,맞았습니다!!,131328,416,PyPy3,405,2022-04-16 16:13
Silver III,다이나믹 프로그래밍,11726,2×n 타일링,Gold V,맞았습니다!!,14320,184,Java 11,701,2022-04-16 16:13
Gold V,자료 구조/덱/구현/큐/시뮬레이션,3190,뱀,Gold III,틀렸습니다,,,Python 3,1649,2022-04-16 16:13
Silver V,유클리드 호제법/수학/정수론,1934,최소공배수,Silver V,시간 초과,,,C11,299,2022-04-16 16:13
Gold I,비트마스킹/다이나믹 프로그래밍/비트필드를 이용한 다이나믹 프로그래밍,1029,그림 교환,Bronze IV,컴파일 에러,,,Java 11,889,2022-04-16 16:13
Silver II,그리디 알고리즘/수학/파싱/문자열,1541,잃어버린 괄호,Silver II,틀렸습니다,,,C++17,386,2022-04-16 16:13
Silver III,백트래킹,15649,N과 M (1),Gold II,런타임 에러 (Segfault),,,C++20,441,2022-04-16 16:13
Bronze II,구현,2562,최댓값,UNRANK,틀렸습니다,,,Java 11,626,2022-04-16 16:13
Bronze II,구현/문자열,1159,농구 경기,Bronze I,런타임 에러 (OutOfBounds),,,C++17,451,2022-04-16 16:13
Gold IV,구현/시뮬레이션,17144,미세먼지 안녕!,Gold I,틀렸습니다,,,C++17,2992,2022-04-16 16:13
Gold IV,그래프 이론/최소 스패닝 트리,1197,최소 스패닝 트리,Gold I,틀렸습니다,,,PyPy3,690,2022-04-16 16:13
Bronze II,구현,10996,별 찍기 - 21,UNRANK,맞았습니다!!,1116,0,C99,632,2022-04-16 16:13
Silver V,다이나믹 프로그래밍/수학,13301,타일 장식물,Silver I,100점,113248,132,PyPy3,170,2022-04-16 16:13
Silver III,정렬/두 포인터,3273,두 수의 합,Silver IV,런타임 에러 (ArrayIndexOutOfBounds),,,Java 11,626,2022-04-16 16:13
Bronze II,구현/문자열,2675,문자열 반복,Bronze I,출력 초과,,,C++17,286,2022-04-16 16:13
Silver V,브루트포스 알고리즘,1018,체스판 다시 칠하기,UNRANK,맞았습니다!!,30840,188,Python 3,1555,2022-04-16 16:13
Bronze IV,구현,9498,시험 성적,UNRANK,틀렸습니다,,,Python 3,163,2022-04-16 16:13
Bronze V,구현,5337,웰컴,Gold IV,맞았습니다!!,113112,108,PyPy3,67,2022-04-16 16:13
Bronze II,구현/문자열,2675,문자열 반복,Silver V,틀렸습니다,,,Python 3,240,2022-04-16 16:13
Silver I,그리디 알고리즘/수학,1105,팔,Gold V,틀렸습니다,,,C++17,937,2022-04-16 16:13
Bronze II,구현,10996,별 찍기 - 21,UNRANK,컴파일 에러,,,C99,632,2022-04-16 16:13
Silver V,브루트포스 알고리즘,1436,영화감독 숌,Silver I,맞았습니다!!,88968,380,Java 11,384,2022-04-16 16:13
Gold V,자료 구조/그리디 알고리즘/우선순위 큐/정렬/스위핑,19598,최소 회의실 개수,Diamond IV,맞았습니다!!,4196,48,C++17,1255,2022-04-16 16:13
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,UNRANK,맞았습니다!!,14236,132,Java 11,626,2022-04-16 16:13
Gold V,브루트포스 알고리즘,1107,리모컨,Gold II,틀렸습니다,,,PyPy3,479,2022-04-16 16:13
Gold IV,다이나믹 프로그래밍/슬라이딩 윈도우,2096,내려가기,Gold II,틀렸습니다,,,C++17,856,2022-04-16 16:13
Bronze V,사칙연산/구현/수학,10869,사칙연산,Bronze III,틀렸습니다,,,Python 3,87,2022-04-16 16:13
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Silver II,틀렸습니다,,,PyPy3,389,2022-04-16 16:13
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,7562,나이트의 이동,Gold I,틀렸습니다,,,C++17,902,2022-04-16 16:13
Bronze V,사칙연산/구현/수학,10998,A×B,UNRANK,컴파일 에러,,,C++17,263,2022-04-16 16:13
Gold II,자료 구조/우선순위 큐,1655,가운데를 말해요,Gold IV,시간 초과,,,PyPy3,358,2022-04-16 16:13
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,UNRANK,맞았습니다!!,17732,208,Java 15,392,2022-04-16 16:13
Silver V,유클리드 호제법/수학/정수론,1934,최소공배수,Silver V,시간 초과,,,C11,317,2022-04-16 16:13
Bronze V,사칙연산/수학,15727,조별과제를 하려는데 조장이 사라졌다,Gold V,틀렸습니다,,,Python 3,89,2022-04-16 16:13
Bronze II,구현,10995,별 찍기 - 20,Silver IV,맞았습니다!!,30840,72,Python 3,304,2022-04-16 16:13
Silver III,정렬/두 포인터,3273,두 수의 합,Silver IV,컴파일 에러,,,Java 11,624,2022-04-16 16:13
Silver III,두 포인터,2003,수들의 합 2,Gold III,맞았습니다!!,2060,28,C++17,634,2022-04-16 16:13
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,Not ratable,맞았습니다!!,1112,0,C++17,109,2022-04-16 16:13
Silver V,수학/정수론/소수 판정,11653,소인수분해,Silver IV,맞았습니다!!,2020,32,C++17,279,2022-04-16 16:13
Bronze II,사칙연산/구현/수학,15552,빠른 A+B,Gold III,맞았습니다!!,2020,232,C++17,427,2022-04-16 16:13
Gold V,다이나믹 프로그래밍,2591,숫자카드,Gold IV,틀렸습니다,,,Python 3,332,2022-04-16 16:13
Bronze I,구현/정렬,2750,수 정렬하기,Bronze V,틀렸습니다,,,node.js,233,2022-04-16 16:12
Silver III,다이나믹 프로그래밍,9095,"1, 2, 3 더하기",Bronze II,틀렸습니다,,,PyPy3,122,2022-04-16 16:12
Gold V,정규 표현식/문자열,2671,잠수함식별,Platinum V,틀렸습니다,,,C++17,812,2022-04-16 16:12
Bronze IV,구현/수학,2753,윤년,UNRANK,틀렸습니다,,,Java 11,387,2022-04-16 16:12
Silver II,유클리드 호제법/수학/정수론,17087,숨바꼭질 6,Silver I,시간 초과,,,node.js,499,2022-04-16 16:12
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,UNRANK,컴파일 에러,,,Java 11,576,2022-04-16 16:12
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,Python 3,19,2022-04-16 16:12
Bronze I,구현/정렬,2750,수 정렬하기,Bronze V,런타임 에러 (ENOENT),,,node.js,311,2022-04-16 16:12
Silver III,자료 구조/스택,1874,스택 수열,UNRANK,맞았습니다!!,2416,28,C++17,625,2022-04-16 16:12
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold IV,틀렸습니다,,,C++17,1417,2022-04-16 16:12
Bronze II,구현,2562,최댓값,Silver I,맞았습니다!!,2020,0,C++17,304,2022-04-16 16:12
Gold II,백트래킹/브루트포스 알고리즘/구현/시뮬레이션,12100,2048 (Easy),Silver II,틀렸습니다,,,C++17,2573,2022-04-16 16:12
Silver II,사칙연산/많은 조건 분기/구현/수학,1614,영식이의 손가락,Bronze I,틀렸습니다,,,Python 3,413,2022-04-16 16:12
Bronze V,구현,10171,고양이,UNRANK,컴파일 에러,,,Python 3,69,2022-04-16 16:12
Gold V,자료 구조/스택,6198,옥상 정원 꾸미기,Bronze II,맞았습니다!!,34276,140,Python 3,298,2022-04-16 16:12
Bronze IV,구현/수학,2753,윤년,UNRANK,맞았습니다!!,30840,84,Python 3,110,2022-04-16 16:12
Bronze IV,기하학/구현/수학,14681,사분면 고르기,UNRANK,맞았습니다!!,30840,72,Python 3,166,2022-04-16 16:12
Bronze II,구현,2562,최댓값,UNRANK,틀렸습니다,,,Java 11,654,2022-04-16 16:12
Bronze II,구현/문자열,10809,알파벳 찾기,Silver V,틀렸습니다,,,C99,462,2022-04-16 16:12
Silver III,다이나믹 프로그래밍,11726,2×n 타일링,Gold V,틀렸습니다,,,Java 11,659,2022-04-16 16:12
Bronze V,사칙연산/수학,15727,조별과제를 하려는데 조장이 사라졌다,Gold V,틀렸습니다,,,Python 3,24,2022-04-16 16:12
Bronze III,구현/수학,10818,"최소, 최대",Silver V,틀렸습니다,,,C++17,302,2022-04-16 16:12
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,Not ratable,컴파일 에러,,,C++17,111,2022-04-16 16:12
Silver III,백트래킹,15650,N과 M (2),Bronze I,맞았습니다!!,14232,124,Java 11,1023,2022-04-16 16:12
Silver IV,자료 구조/큐,1158,요세푸스 문제,Gold II,맞았습니다!!,6332,68,C#,1057,2022-04-16 16:12
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,맞았습니다!!,2020,0,C++14,216,2022-04-16 16:12
Silver III,두 포인터,2003,수들의 합 2,Gold III,맞았습니다!!,2060,24,C++17,560,2022-04-16 16:12
Gold IV,자료 구조/그리디 알고리즘/우선순위 큐,1715,카드 정렬하기,Silver V,틀렸습니다,,,Java 11,649,2022-04-16 16:12
Silver IV,자료 구조/해시를 사용한 집합과 맵/정렬/문자열,1302,베스트셀러,Silver IV,틀렸습니다,,,PyPy3,301,2022-04-16 16:12
Silver I,문자열,5525,IOIOI,Platinum V,50점,114328,128,PyPy3,282,2022-04-16 16:12
Silver V,브루트포스 알고리즘,1436,영화감독 숌,UNRANK,틀렸습니다,,,Java 11,377,2022-04-16 16:12
Silver III,다이나믹 프로그래밍,1463,1로 만들기,UNRANK,틀렸습니다,,,Python 3,343,2022-04-16 16:12
Gold IV,조합론/다이나믹 프로그래밍/수학,1720,타일 코드,Gold V,맞았습니다!!,17724,204,Java 11,450,2022-04-16 16:12
Bronze II,사칙연산/구현/수학,15596,정수 N개의 합,UNRANK,맞았습니다!!,422872,28,Java 8,173,2022-04-16 16:12
Silver III,그리디 알고리즘/정렬,11399,ATM,Gold II,맞았습니다!!,2020,0,C++17,411,2022-04-16 16:12
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색/구현/시뮬레이션,16234,인구 이동,Gold II,맞았습니다!!,305484,1192,Java 11,2706,2022-04-16 16:12
Silver I,분할 정복/재귀,1074,Z,Gold II,맞았습니다!!,30840,80,Python 3,570,2022-04-16 16:12
Gold III,다익스트라/그래프 이론,11779,최소비용 구하기 2,Gold I,메모리 초과,,,C++17,1478,2022-04-16 16:12
Bronze I,구현/문자열,11719,그대로 출력하기 2,Silver V,맞았습니다!!,1112,0,C99,122,2022-04-16 16:12
Silver III,브루트포스 알고리즘/다이나믹 프로그래밍,14501,퇴사,Silver III,틀렸습니다,,,node.js,859,2022-04-16 16:12
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,틀렸습니다,,,C99,124,2022-04-16 16:11
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C++17,195,2022-04-16 16:11
Bronze V,구현,10718,We love kriii,UNRANK,맞았습니다!!,13868,120,Java 11,167,2022-04-16 16:11
Bronze II,구현/문자열,2675,문자열 반복,Silver V,틀렸습니다,,,Python 3,250,2022-04-16 16:11
Bronze V,사칙연산/구현/수학,10430,나머지,UNRANK,맞았습니다!!,1112,0,C++17,279,2022-04-16 16:11
Bronze III,구현,2742,기찍 N,UNRANK,맞았습니다!!,30840,116,Python 3,58,2022-04-16 16:11
Bronze III,구현,10824,네 수,Silver III,맞았습니다!!,17728,208,Java 11,330,2022-04-16 16:11
Bronze IV,사칙연산/수학,2588,곱셈,UNRANK,런타임 에러 (TypeError),,,Python 3,99,2022-04-16 16:11
Bronze III,기하학/구현,3009,네 번째 점,UNRANK,맞았습니다!!,30840,64,Python 3,303,2022-04-16 16:11
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1260,DFS와 BFS,Gold III,틀렸습니다,,,Python 3,722,2022-04-16 16:11
Silver III,다이나믹 프로그래밍,1463,1로 만들기,UNRANK,출력 초과,,,Python 3,379,2022-04-16 16:11
Bronze V,사칙연산/수학,15727,조별과제를 하려는데 조장이 사라졌다,Gold V,틀렸습니다,,,Python 3,24,2022-04-16 16:11
Bronze V,구현,10171,고양이,UNRANK,출력 형식이 잘못되었습니다,,,C99,213,2022-04-16 16:11
Gold V,구현/시뮬레이션,14503,로봇 청소기,Silver IV,맞았습니다!!,1228,0,C++17,1092,2022-04-16 16:11
Bronze II,구현/문자열,10809,알파벳 찾기,Silver V,컴파일 에러,,,C99,463,2022-04-16 16:11
Bronze V,사칙연산/구현/수학,10998,A×B,UNRANK,컴파일 에러,,,Java 11,211,2022-04-16 16:11
Gold I,백트래킹/구현/시뮬레이션,23290,마법사 상어와 복제,UNRANK,시간 초과,,,PyPy3,3433,2022-04-16 16:11
Bronze II,구현,2562,최댓값,Bronze III,맞았습니다!!,2020,0,C++17,262,2022-04-16 16:11
Silver III,정렬/두 포인터,3273,두 수의 합,Silver IV,틀렸습니다,,,Java 11,609,2022-04-16 16:11
Silver V,정렬,11650,좌표 정렬하기,UNRANK,컴파일 에러,,,Java 11,1028,2022-04-16 16:11
Gold IV,그래프 이론/최소 스패닝 트리,1197,최소 스패닝 트리,Gold I,틀렸습니다,,,PyPy3,677,2022-04-16 16:11
Bronze IV,구현/수학,2753,윤년,UNRANK,틀렸습니다,,,Java 11,387,2022-04-16 16:11
Bronze II,구현,2562,최댓값,Bronze III,틀렸습니다,,,C++17,258,2022-04-16 16:11
Gold V,자료 구조/덱/구현/큐/시뮬레이션,3190,뱀,Gold III,틀렸습니다,,,Python 3,1619,2022-04-16 16:11
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,틀렸습니다,,,C99,132,2022-04-16 16:11
Bronze V,구현,10171,고양이,UNRANK,맞았습니다!!,13916,124,Java 11,237,2022-04-16 16:11
Gold II,자료 구조/우선순위 큐,1655,가운데를 말해요,Gold II,틀렸습니다,,,C++20,507,2022-04-16 16:11
Bronze I,구현/문자열,1157,단어 공부,Bronze I,맞았습니다!!,4916,48,C++17,601,2022-04-16 16:11
Gold V,정규 표현식/문자열,2671,잠수함식별,Platinum V,틀렸습니다,,,C++17,838,2022-04-16 16:11
Bronze III,사칙연산/수학,2884,알람 시계,Bronze I,틀렸습니다,,,Python 3,135,2022-04-16 16:11
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,C++17,180,2022-04-16 16:11
Silver IV,자료 구조/해시를 사용한 집합과 맵/정렬/문자열,1302,베스트셀러,Silver IV,틀렸습니다,,,PyPy3,302,2022-04-16 16:11
Silver V,정렬,11650,좌표 정렬하기,UNRANK,컴파일 에러,,,Java 11,1027,2022-04-16 16:11
Silver III,정렬/두 포인터,3273,두 수의 합,Silver IV,틀렸습니다,,,Java 11,608,2022-04-16 16:11
Bronze V,구현,10172,개,UNRANK,컴파일 에러,,,C++17,223,2022-04-16 16:11
Bronze V,사칙연산/구현/수학,10998,A×B,UNRANK,컴파일 에러,,,Java 11,263,2022-04-16 16:11
Bronze V,구현,10171,고양이,UNRANK,컴파일 에러,,,Python 3,47,2022-04-16 16:11
Silver II,자료 구조/우선순위 큐,1927,최소 힙,Gold IV,맞았습니다!!,2916,20,C++17,715,2022-04-16 16:11
Platinum V,이분 탐색/자료 구조/세그먼트 트리,2243,사탕상자,Platinum III,맞았습니다!!,17644,60,C++17,1636,2022-04-16 16:11
Gold III,너비 우선 탐색/그래프 이론/그래프 탐색,2146,다리 만들기,Gold I,맞았습니다!!,296572,1444,Java 11,2401,2022-04-16 16:11
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,틀렸습니다,,,C99,125,2022-04-16 16:10
Bronze II,구현,5622,다이얼,Gold IV,맞았습니다!!,2024,0,C++17,296,2022-04-16 16:10
Bronze V,구현,10171,고양이,UNRANK,틀렸습니다,,,Java 11,239,2022-04-16 16:10
Silver I,다이나믹 프로그래밍,2294,동전 2,Platinum V,맞았습니다!!,44644,380,Python 3,484,2022-04-16 16:10
Bronze I,사칙연산/수학,1546,평균,Bronze I,맞았습니다!!,28168,396,Java 11,500,2022-04-16 16:10
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,14940,쉬운 최단거리,Silver II,맞았습니다!!,71876,2244,Java 11,2359,2022-04-16 16:10
Gold I,자료 구조/스택,3015,오아시스 재결합,Silver V,시간 초과,,,Python 3,410,2022-04-16 16:10
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,UNRANK,맞았습니다!!,30840,72,Python 3,115,2022-04-16 16:10
Gold IV,다이나믹 프로그래밍/슬라이딩 윈도우,2096,내려가기,Gold II,런타임 에러 (IndexError),,,Python 3,547,2022-04-16 16:10
Bronze V,사칙연산/구현/수학,10998,A×B,UNRANK,컴파일 에러,,,Java 11,263,2022-04-16 16:10
Silver III,정렬/두 포인터,3273,두 수의 합,Gold III,시간 초과,,,C++17,399,2022-04-16 16:10
Platinum IV,다이나믹 프로그래밍/배낭 문제/수학,12920,평범한 배낭 2,Silver II,컴파일 에러,,,C++17,705,2022-04-16 16:10
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,틀렸습니다,,,C99,128,2022-04-16 16:10
Gold III,다익스트라/그래프 이론,11779,최소비용 구하기 2,Gold I,컴파일 에러,,,C++17,1375,2022-04-16 16:10
Bronze II,구현/문자열,2675,문자열 반복,Silver V,틀렸습니다,,,Python 3,220,2022-04-16 16:10
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold IV,시간 초과,,,C++17,2381,2022-04-16 16:10
Platinum V,이분 탐색/자료 구조/세그먼트 트리,2243,사탕상자,Platinum III,틀렸습니다,,,C++17,1655,2022-04-16 16:10
Gold IV,브루트포스 알고리즘/그래프 이론/구현/시뮬레이션,17135,캐슬 디펜스,Platinum IV,맞았습니다!!,2032,8,C++17,2303,2022-04-16 16:10
Silver IV,자료 구조/스택/문자열,4949,균형잡힌 세상,Silver II,맞았습니다!!,33552,452,Python 3,896,2022-04-16 16:10
Silver I,분할 정복/재귀,2447,별 찍기 - 10,UNRANK,맞았습니다!!,1300,456,C99,515,2022-04-16 16:10
Silver I,다이나믹 프로그래밍,2294,동전 2,Platinum V,틀렸습니다,,,Python 3,452,2022-04-16 16:10
Silver III,정렬/두 포인터,3273,두 수의 합,Silver IV,틀렸습니다,,,Java 11,598,2022-04-16 16:10
Silver III,자료 구조/스택,1874,스택 수열,UNRANK,시간 초과,,,C++17,618,2022-04-16 16:10
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,Bronze I,틀렸습니다,,,C99,1052,2022-04-16 16:10
Platinum IV,다이나믹 프로그래밍/배낭 문제/수학,12920,평범한 배낭 2,Silver II,컴파일 에러,,,C++17,705,2022-04-16 16:10
Silver V,다이나믹 프로그래밍/게임 이론/수학,9655,돌 게임,Gold IV,틀렸습니다,,,Swift,378,2022-04-16 16:10
Platinum V,이분 탐색/자료 구조/세그먼트 트리,2243,사탕상자,Platinum III,출력 초과,,,C++17,1700,2022-04-16 16:10
Gold III,너비 우선 탐색/그래프 이론/그래프 탐색,16940,BFS 스페셜 저지,Platinum V,틀렸습니다,,,Kotlin (JVM),1230,2022-04-16 16:10
Bronze II,구현/수학,10870,피보나치 수 5,Silver IV,맞았습니다!!,30840,96,Python 3,111,2022-04-16 16:10
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,C++17,182,2022-04-16 16:10
Bronze IV,구현/수학,2753,윤년,UNRANK,컴파일 에러,,,Java 11,382,2022-04-16 16:10
Bronze IV,구현/수학,2753,윤년,UNRANK,맞았습니다!!,30840,80,Python 3,120,2022-04-16 16:10
Gold IV,백트래킹/깊이 우선 탐색/그래프 이론/그래프 탐색/브루트포스 알고리즘/구현,1987,알파벳,Gold III,맞았습니다!!,14832,1108,Java 11,1576,2022-04-16 16:10
Bronze II,수학,1075,나누기,UNRANK,런타임 에러 (NameError),,,Python 3,55,2022-04-16 16:10
Silver IV,자료 구조/덱,1021,회전하는 큐,Silver IV,맞았습니다!!,14332,128,Java 11,2247,2022-04-16 16:10
Silver I,다이나믹 프로그래밍,2294,동전 2,Platinum V,런타임 에러 (RecursionError),,,Python 3,423,2022-04-16 16:10
Bronze III,사칙연산/구현/수학,11021,A+B - 7,UNRANK,맞았습니다!!,1112,0,C99,177,2022-04-16 16:10
